collection
brachiopoda
amphibia-and-reptilia
chelicerata-and-myriapoda
hemiptera
pisces
aves
foraminifera
hydrozoa
botany
collembola
lepidoptera
tunicata
diptera
mollusca
crustacea
paleontology-invertebrates
hymenoptera
cnidaria
paleobotany
porifera
odonata
mammalia
cainozoic-mollusca
echinodermata
coleoptera
orthopteroidea
nsr
